County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages
"Antrim County, MI",3,1,3,1,1,4,
"Arenac County, MI",3,1,3,1,1,4,
"Baraga County, MI",3,2,3,1,3,4,
"Barry County, MI",3,4,3,1,1,4,
"Bay County, MI",3,5,3,1,1,4,
"Benzie County, MI",3,1,3,1,1,4,
"Berrien County, MI",4,5,3,1,1,4,
"Branch County, MI",3,4,3,1,1,4,
"Calhoun County, MI",3,4,3,1,1,4,
"Cass County, MI",3,4,3,1,1,4,
"Charlevoix County, MI",3,1,3,1,1,4,
"Cheboygan County, MI",3,4,3,1,2,4,
"Chippewa County, MI",3,4,3,1,1,4,
"Clare County, MI",3,2,3,1,1,4,
"Clinton County, MI",3,4,3,1,1,4,
"Crawford County, MI",3,2,1,1,2,4,
"Delta County, MI",3,1,3,1,1,4,
"Dickinson County, MI",3,1,3,1,2,4,
"Eaton County, MI",3,4,3,1,1,4,
"Emmet County, MI",3,2,3,1,2,4,
"Genesee County, MI",3,4,3,1,1,4,
"Gladwin County, MI",3,4,3,1,1,4,
"Gogebic County, MI",3,4,3,1,2,4,
"Grand Traverse County, MI",3,1,3,1,1,4,
"Gratiot County, MI",3,4,3,1,1,4,
"Hillsdale County, MI",4,4,3,1,1,4,
"Houghton County, MI",3,2,3,1,3,3,
"Huron County, MI",3,4,3,1,1,4,
"Ingham County, MI",3,4,3,1,1,4,
"Ionia County, MI",3,2,3,1,1,4,
"Iosco County, MI",3,2,3,1,1,4,
"Iron County, MI",3,2,1,1,3,4,
"Isabella County, MI",3,2,3,1,1,4,
"Jackson County, MI",3,4,3,1,1,4,
"Kalamazoo County, MI",3,4,3,1,1,4,
"Kalkaska County, MI",3,2,3,1,2,4,
"Kent County, MI",3,2,3,1,1,4,
"Keweenaw County, MI",3,5,1,1,1,1,
"Lake County, MI",3,1,3,1,1,4,
"Lapeer County, MI",3,4,3,1,1,4,
"Leelanau County, MI",3,1,3,1,1,4,
"Lenawee County, MI",3,4,3,1,1,4,
"Livingston County, MI",3,4,3,1,1,4,
"Luce County, MI",3,2,1,1,1,4,
"Mackinac County, MI",3,4,3,1,3,4,
"Macomb County, MI",3,2,3,1,1,4,
"Manistee County, MI",3,1,3,1,1,4,
"Marquette County, MI",3,1,3,1,3,4,
"Mason County, MI",3,2,3,1,1,4,
"Mecosta County, MI",3,1,3,1,1,4,
"Menominee County, MI",3,1,3,1,2,4,
"Midland County, MI",3,4,3,1,1,4,
"Missaukee County, MI",3,2,3,1,2,4,
"Monroe County, MI",3,5,3,1,1,4,
"Montcalm County, MI",3,2,3,1,1,4,
"Montmorency County, MI",3,2,3,1,2,4,
"Muskegon County, MI",3,2,3,1,1,4,
"Newaygo County, MI",3,2,3,1,1,4,
"Oakland County, MI",4,4,3,1,1,4,
"Oceana County, MI",3,1,3,1,1,4,
"Ogemaw County, MI",3,2,3,1,2,4,
"Ontonagon County, MI",3,5,3,1,1,3,
"Osceola County, MI",3,1,3,1,1,4,
"Oscoda County, MI",3,4,3,1,2,4,
"Otsego County, MI",3,4,3,1,2,4,
"Ottawa County, MI",3,5,3,1,1,4,
"Presque Isle County, MI",3,2,3,1,1,4,
"Roscommon County, MI",3,2,3,1,2,4,
"Saginaw County, MI",3,4,3,1,1,4,
"St. Clair County, MI",3,2,3,1,1,4,
"St. Joseph County, MI",4,5,3,1,1,4,
"Sanilac County, MI",3,4,3,1,1,4,
"Schoolcraft County, MI",3,1,3,1,2,4,
"Shiawassee County, MI",3,4,3,1,1,4,
"Tuscola County, MI",3,4,3,1,1,4,
"Van Buren County, MI",3,5,3,1,1,4,
"Washtenaw County, MI",3,4,3,1,1,4,
"Wayne County, MI",4,4,3,1,1,4,
"Wexford County, MI",3,1,3,1,2,4,
"Aitkin County, MN",3,2,3,1,6,4,
"Anoka County, MN",3,1,3,1,1,4,
"Becker County, MN",3,1,3,1,1,4,
"Beltrami County, MN",3,1,3,1,6,4,
"Benton County, MN",3,1,3,1,1,4,
"Big Stone County, MN",3,1,3,1,1,4,
"Blue Earth County, MN",4,5,3,1,1,4,
"Brown County, MN",3,5,3,1,1,4,
"Carlton County, MN",3,4,3,1,3,4,
"Carver County, MN",3,4,3,1,1,4,
"Cass County, MN",3,2,3,1,6,4,
"Chippewa County, MN",4,1,3,1,1,4,
"Chisago County, MN",3,2,3,1,1,4,
"Clay County, MN",4,1,3,1,1,4,
"Clearwater County, MN",3,1,3,1,6,4,
"Cook County, MN",3,1,1,1,6,2,
"Cottonwood County, MN",4,4,3,1,1,4,
"Crow Wing County, MN",3,2,3,1,5,4,
"Dakota County, MN",3,4,3,1,1,4,
"Dodge County, MN",3,4,3,1,1,4,
"Douglas County, MN",3,1,3,1,1,4,
"Faribault County, MN",4,5,3,1,1,4,
"Fillmore County, MN",3,4,3,1,1,4,
"Freeborn County, MN",3,5,3,1,1,4,
"Goodhue County, MN",3,4,3,1,1,4,
"Grant County, MN",3,1,3,1,1,4,
"Hennepin County, MN",3,4,3,1,1,4,
"Houston County, MN",3,1,3,1,1,4,
"Hubbard County, MN",3,1,3,1,4,4,
"Isanti County, MN",3,2,3,1,1,4,
"Itasca County, MN",3,1,3,1,6,4,
"Jackson County, MN",4,2,3,1,1,4,
"Kanabec County, MN",3,1,3,1,2,4,
"Kandiyohi County, MN",3,4,3,1,1,4,
"Kittson County, MN",3,1,3,1,1,4,
"Koochiching County, MN",3,1,3,1,6,4,
"Lac qui Parle County, MN",4,1,3,1,1,4,
"Lake County, MN",3,1,1,1,6,4,
"Lake of the Woods County, MN",3,1,3,1,1,4,
"Le Sueur County, MN",4,5,3,1,1,4,
"Lincoln County, MN",4,2,3,1,1,4,
"Lyon County, MN",4,2,3,1,1,4,
"McLeod County, MN",4,5,3,1,1,4,
"Mahnomen County, MN",3,1,3,1,1,4,
"Marshall County, MN",3,1,3,1,1,4,
"Martin County, MN",4,5,3,1,1,4,
"Meeker County, MN",3,4,3,1,1,4,
"Mille Lacs County, MN",3,2,3,1,3,4,
"Morrison County, MN",4,4,3,1,3,4,
"Mower County, MN",3,4,3,1,1,4,
"Murray County, MN",3,1,3,1,1,4,
"Nicollet County, MN",3,5,3,1,1,4,
"Nobles County, MN",3,1,3,1,1,4,
"Norman County, MN",4,2,3,1,1,4,
"Olmsted County, MN",3,4,3,1,1,4,
"Otter Tail County, MN",3,2,3,1,1,4,
"Pennington County, MN",3,1,3,1,1,4,
"Pine County, MN",3,4,3,1,3,4,
"Pipestone County, MN",4,1,3,1,1,4,
"Polk County, MN",3,1,3,1,1,4,
"Pope County, MN",4,1,3,1,1,4,
"Ramsey County, MN",3,5,3,1,1,4,
"Red Lake County, MN",3,1,3,1,1,4,
"Redwood County, MN",4,2,3,1,1,4,
"Renville County, MN",4,4,3,1,1,4,
"Rice County, MN",3,4,3,1,1,4,
"Rock County, MN",4,1,3,1,1,4,
"Roseau County, MN",3,1,3,1,1,4,
"St. Louis County, MN",3,1,3,1,7,4,
"Scott County, MN",3,4,3,1,1,4,
"Sherburne County, MN",3,2,3,1,1,4,
"Sibley County, MN",3,5,3,1,1,4,
"Stearns County, MN",3,4,3,1,1,4,
"Steele County, MN",3,4,3,1,1,4,
"Stevens County, MN",3,1,3,1,1,4,
"Swift County, MN",4,1,3,1,1,4,
"Todd County, MN",3,2,3,1,1,4,
"Traverse County, MN",3,1,3,1,1,4,
"Wabasha County, MN",3,4,3,1,1,4,
"Wadena County, MN",3,2,3,1,1,4,
"Waseca County, MN",4,4,3,1,1,4,
"Washington County, MN",3,4,3,1,1,4,
"Watonwan County, MN",3,4,3,1,1,4,
"Wilkin County, MN",3,1,3,1,1,4,
"Winona County, MN",3,4,3,1,1,4,
"Wright County, MN",3,4,3,1,1,4,
"Yellow Medicine County, MN",4,2,3,1,1,4,
"Adams County, MS",7,2,8,1,1,6,
"Alcorn County, MS",6,5,8,1,1,5,
"Amite County, MS",7,4,8,1,1,8,
"Attala County, MS",6,5,8,1,1,5,
"Benton County, MS",6,5,8,1,1,5,
"Bolivar County, MS",7,5,7,1,1,5,
"Calhoun County, MS",6,6,8,1,1,5,
"Carroll County, MS",7,7,8,1,1,6,
"Chickasaw County, MS",6,5,8,1,1,5,
"Choctaw County, MS",6,4,8,1,1,5,
"Claiborne County, MS",7,6,9,1,1,5,
"Clarke County, MS",7,6,9,1,1,7,
"Clay County, MS",7,7,8,1,1,5,
"Coahoma County, MS",7,4,8,1,1,5,
"Copiah County, MS",7,4,9,1,1,7,
"Covington County, MS",6,5,8,1,1,7,
"DeSoto County, MS",7,4,8,1,1,5,
"Forrest County, MS",6,6,9,1,1,6,
"Franklin County, MS",7,4,8,1,1,7,
"George County, MS",6,5,8,1,1,8,
"Greene County, MS",6,5,8,1,1,8,
"Grenada County, MS",6,6,8,1,1,5,
"Hancock County, MS",4,6,1,6,2,9,
"Harrison County, MS",7,7,8,4,2,7,
"Hinds County, MS",7,5,9,1,1,5,
"Holmes County, MS",7,6,8,1,1,5,
"Humphreys County, MS",7,7,8,1,1,5,
"Issaquena County, MS",9,5,8,1,1,5,
"Itawamba County, MS",6,5,8,1,1,5,
"Jackson County, MS",6,9,8,4,3,8,
"Jasper County, MS",7,5,9,1,1,6,
"Jefferson County, MS",7,4,8,1,1,7,
"Jefferson Davis County, MS",6,5,9,1,1,8,
"Jones County, MS",7,5,8,1,1,6,
"Kemper County, MS",7,5,8,1,1,5,
"Lafayette County, MS",7,7,8,1,1,5,
"Lamar County, MS",6,7,8,1,1,7,
"Lauderdale County, MS",7,4,9,1,1,5,
"Lawrence County, MS",7,5,8,1,1,7,
"Leake County, MS",7,6,8,1,1,5,
"Lee County, MS",7,7,8,1,1,5,
"Leflore County, MS",7,6,7,1,1,5,
"Lincoln County, MS",7,5,8,1,1,7,
"Lowndes County, MS",7,7,8,1,1,5,
"Madison County, MS",7,6,8,1,1,5,
"Marion County, MS",6,5,8,1,1,7,
"Marshall County, MS",7,6,8,1,1,5,
"Monroe County, MS",7,7,8,1,1,5,
"Montgomery County, MS",6,4,8,1,1,5,
"Neshoba County, MS",7,7,9,1,1,5,
"Newton County, MS",7,4,8,1,1,6,
"Noxubee County, MS",7,6,8,1,1,5,
"Oktibbeha County, MS",7,6,8,1,1,5,
"Panola County, MS",7,5,8,1,1,5,
"Pearl River County, MS",4,5,8,1,1,7,
"Perry County, MS",6,6,9,1,1,7,
"Pike County, MS",7,4,8,1,1,7,
"Pontotoc County, MS",6,6,8,1,1,5,
"Prentiss County, MS",6,6,8,1,1,5,
"Quitman County, MS",7,4,8,1,1,5,
"Rankin County, MS",7,6,8,1,1,5,
"Scott County, MS",7,5,8,1,1,5,
"Sharkey County, MS",9,9,6,1,1,5,
"Simpson County, MS",7,6,8,1,1,7,
"Smith County, MS",7,5,8,1,1,7,
"Stone County, MS",7,6,8,1,1,8,
"Sunflower County, MS",7,7,7,1,1,5,
"Tallahatchie County, MS",6,4,8,1,1,5,
"Tate County, MS",7,9,8,1,1,5,
"Tippah County, MS",6,5,8,1,1,5,
"Tishomingo County, MS",6,4,8,1,1,5,
"Tunica County, MS",7,4,8,1,1,5,
"Union County, MS",6,5,8,1,1,5,
"Walthall County, MS",7,5,8,1,1,8,
"Warren County, MS",7,9,9,1,1,5,
"Washington County, MS",7,6,6,1,1,5,
"Wayne County, MS",7,5,8,1,1,6,
"Webster County, MS",6,5,8,1,1,5,
"Wilkinson County, MS",7,2,9,1,1,8,
"Winston County, MS",7,7,8,1,1,5,
"Yalobusha County, MS",7,6,8,1,1,5,
"Yazoo County, MS",7,7,8,1,1,5,
"Adair County, MO",4,4,4,1,2,5,
"Andrew County, MO",4,4,7,1,1,5,
"Atchison County, MO",6,5,6,1,1,5,
"Audrain County, MO",4,4,6,1,2,5,
"Barry County, MO",4,2,8,1,2,5,
"Barton County, MO",6,4,8,1,2,5,
"Bates County, MO",6,4,8,1,3,5,
"Benton County, MO",4,2,8,1,2,6,
"Bollinger County, MO",6,6,8,1,2,6,
"Boone County, MO",6,4,7,1,2,5,
"Buchanan County, MO",4,4,7,1,1,5,
"Butler County, MO",6,5,8,1,2,5,
"Caldwell County, MO",4,4,6,1,1,5,
"Callaway County, MO",4,5,6,1,1,5,
"Camden County, MO",6,6,8,1,2,6,
"Cape Girardeau County, MO",6,7,8,1,1,5,
"Carroll County, MO",6,6,7,1,1,5,
"Carter County, MO",6,9,6,1,2,5,
"Cass County, MO",4,2,8,1,2,6,
"Cedar County, MO",6,5,8,1,2,5,
"Chariton County, MO",6,6,6,1,2,5,
"Christian County, MO",6,2,8,1,2,6,
"Clark County, MO",4,5,5,1,2,5,
"Clay County, MO",6,4,8,1,2,5,
"Clinton County, MO",4,2,6,1,1,5,
"Cole County, MO",6,7,7,1,1,5,
"Cooper County, MO",4,5,7,1,2,5,
"Crawford County, MO",6,7,5,1,2,5,
"Dade County, MO",6,2,8,1,2,5,
"Dallas County, MO",4,5,8,1,2,6,
"Daviess County, MO",4,4,5,1,1,5,
"DeKalb County, MO",4,4,6,1,1,5,
"Dent County, MO",6,5,7,1,2,5,
"Douglas County, MO",4,2,8,1,2,5,
"Dunklin County, MO",6,7,8,1,1,5,
"Franklin County, MO",6,7,7,1,1,5,
"Gasconade County, MO",6,7,7,1,1,5,
"Gentry County, MO",4,4,6,1,1,5,
"Greene County, MO",6,2,8,1,2,5,
"Grundy County, MO",4,4,5,1,2,5,
"Harrison County, MO",4,4,5,1,1,5,
"Henry County, MO",6,4,8,1,2,5,
"Hickory County, MO",6,5,8,1,2,7,
"Holt County, MO",4,4,6,1,1,5,
"Howard County, MO",4,5,7,1,2,5,
"Howell County, MO",6,1,8,1,2,5,
"Iron County, MO",6,4,4,1,2,5,
"Jackson County, MO",4,4,8,1,2,5,
"Jasper County, MO",6,2,8,1,2,5,
"Jefferson County, MO",6,5,6,1,2,6,
"Johnson County, MO",6,4,8,1,2,5,
"Knox County, MO",4,4,5,1,2,5,
"Laclede County, MO",4,5,8,1,2,5,
"Lafayette County, MO",6,5,7,1,1,6,
"Lawrence County, MO",6,2,8,1,2,5,
"Lewis County, MO",4,5,5,1,2,5,
"Lincoln County, MO",6,4,6,1,1,6,
"Linn County, MO",4,5,5,1,2,5,
"Livingston County, MO",6,4,6,1,2,5,
"McDonald County, MO",4,2,8,1,2,5,
"Macon County, MO",4,4,5,1,2,5,
"Madison County, MO",6,6,5,1,2,5,
"Maries County, MO",6,7,7,1,2,6,
"Marion County, MO",4,5,6,1,2,5,
"Mercer County, MO",4,4,4,1,2,5,
"Miller County, MO",6,6,7,1,2,5,
"Mississippi County, MO",6,6,8,1,1,5,
"Moniteau County, MO",4,6,7,1,1,5,
"Monroe County, MO",4,5,6,1,2,5,
"Montgomery County, MO",4,5,6,1,1,5,
"Morgan County, MO",4,5,8,1,2,6,
"New Madrid County, MO",6,7,8,1,1,5,
"Newton County, MO",4,2,8,1,2,5,
"Nodaway County, MO",4,5,6,1,1,5,
"Oregon County, MO",6,4,1,1,2,5,
"Osage County, MO",6,7,8,1,1,5,
"Ozark County, MO",4,2,7,1,2,6,
"Pemiscot County, MO",6,7,8,1,1,5,
"Perry County, MO",6,6,8,1,1,5,
"Pettis County, MO",4,5,7,1,2,5,
"Phelps County, MO",6,7,8,1,2,5,
"Pike County, MO",6,4,6,1,1,5,
"Platte County, MO",6,4,8,1,2,5,
"Polk County, MO",6,2,8,1,2,5,
"Pulaski County, MO",4,5,8,1,2,5,
"Putnam County, MO",4,4,4,1,2,5,
"Ralls County, MO",4,5,6,1,2,5,
"Randolph County, MO",4,5,6,1,2,5,
"Ray County, MO",6,4,7,1,2,6,
"Reynolds County, MO",6,7,5,1,2,5,
"Ripley County, MO",6,5,8,1,2,6,
"St. Charles County, MO",4,4,7,1,1,5,
"St. Clair County, MO",6,2,8,1,2,6,
"Ste. Genevieve County, MO",6,6,8,1,1,5,
"St. Francois County, MO",6,5,7,1,2,5,
"St. Louis County, MO",6,5,7,1,1,5,
"Saline County, MO",6,5,7,1,2,5,
"Schuyler County, MO",4,4,4,1,2,5,
"Scotland County, MO",6,4,5,1,2,5,
"Scott County, MO",6,7,8,1,1,5,
"Shannon County, MO",6,7,1,1,2,5,
"Shelby County, MO",4,4,5,1,2,5,
"Stoddard County, MO",6,5,8,1,1,5,
"Stone County, MO",6,2,8,1,2,6,
"Sullivan County, MO",4,4,5,1,2,5,
"Taney County, MO",6,2,8,1,2,5,
"Texas County, MO",4,5,8,1,2,5,
"Vernon County, MO",6,4,8,1,2,5,
"Warren County, MO",6,6,7,1,1,5,
"Washington County, MO",6,7,5,1,2,5,
"Wayne County, MO",6,7,8,1,2,6,
"Webster County, MO",4,2,8,1,2,5,
"Worth County, MO",4,4,5,1,1,5,
"Wright County, MO",4,4,8,1,2,5,
"St. Louis city, MO",6,5,1,1,1,5,
"Beaverhead County, MT",3,1,1,1,7,4,
"Big Horn County, MT",6,1,4,1,7,4,
"Blaine County, MT",4,1,4,1,6,4,
"Broadwater County, MT",4,1,1,1,6,4,
"Carbon County, MT",4,1,3,1,6,4,
"Carter County, MT",4,2,4,1,6,4,
"Cascade County, MT",4,1,1,1,6,4,
"Chouteau County, MT",4,1,3,1,6,4,
"Custer County, MT",6,1,4,1,6,4,
"Daniels County, MT",4,1,4,1,3,4,
"Dawson County, MT",6,2,4,1,6,4,
"Deer Lodge County, MT",3,1,1,1,3,4,
"Fallon County, MT",4,1,4,1,5,4,
"Fergus County, MT",3,1,4,1,7,4,
"Flathead County, MT",4,1,3,1,7,4,
"Gallatin County, MT",4,1,1,1,6,4,
"Garfield County, MT",4,1,4,1,7,4,
"Glacier County, MT",3,1,1,1,3,4,
"Golden Valley County, MT",4,1,3,1,5,4,
"Granite County, MT",4,1,1,1,6,3,
"Hill County, MT",4,1,4,1,6,4,
"Jefferson County, MT",3,1,1,1,6,4,
"Judith Basin County, MT",3,1,1,1,6,4,
"Lake County, MT",3,1,3,1,6,4,
"Lewis and Clark County, MT",4,1,3,1,6,4,
"Liberty County, MT",4,1,1,1,5,4,
"Lincoln County, MT",6,1,1,1,6,4,
"McCone County, MT",4,1,4,1,6,4,
"Madison County, MT",3,1,1,1,6,4,
"Meagher County, MT",3,1,1,1,6,4,
"Mineral County, MT",4,1,1,1,6,4,
"Missoula County, MT",4,1,1,1,6,4,
"Musselshell County, MT",6,1,4,1,6,4,
"Park County, MT",3,1,1,1,6,3,
"Petroleum County, MT",6,1,4,1,6,4,
"Phillips County, MT",4,1,4,1,6,4,
"Pondera County, MT",3,1,3,1,4,4,
"Powder River County, MT",6,1,1,1,6,4,
"Powell County, MT",3,1,1,1,6,4,
"Prairie County, MT",6,1,4,1,6,4,
"Ravalli County, MT",3,1,3,1,6,4,
"Richland County, MT",6,1,4,1,4,4,
"Roosevelt County, MT",4,1,4,1,4,4,
"Rosebud County, MT",6,1,4,1,7,4,
"Sanders County, MT",6,1,3,1,7,4,
"Sheridan County, MT",4,1,4,1,3,4,
"Silver Bow County, MT",3,1,1,1,3,4,
"Stillwater County, MT",4,1,3,1,6,4,
"Sweet Grass County, MT",4,1,3,1,6,4,
"Teton County, MT",3,1,1,1,6,4,
"Toole County, MT",3,1,3,1,5,4,
"Treasure County, MT",4,1,4,1,6,4,
"Valley County, MT",4,1,4,1,6,4,
"Wheatland County, MT",3,1,3,1,5,4,
"Wibaux County, MT",4,1,4,1,3,4,
"Yellowstone County, MT",4,1,4,1,6,4,
"Adams County, NE",6,2,6,1,1,5,
"Antelope County, NE",4,1,4,1,1,5,
"Arthur County, NE",6,1,3,1,2,5,
"Banner County, NE",4,1,4,1,2,5,
"Blaine County, NE",6,2,4,1,2,5,
"Boone County, NE",4,1,5,1,1,5,
"Box Butte County, NE",4,1,4,1,2,5,
"Boyd County, NE",4,2,5,1,1,5,
"Brown County, NE",4,1,5,1,1,5,
"Buffalo County, NE",4,1,6,1,1,5,
"Burt County, NE",4,2,4,1,1,5,
"Butler County, NE",4,1,6,1,1,5,
"Cass County, NE",4,2,5,1,1,5,
"Cedar County, NE",4,1,5,1,1,5,
"Chase County, NE",6,1,4,1,1,5,
"Cherry County, NE",6,2,4,1,6,5,
"Cheyenne County, NE",6,1,4,1,2,5,
"Clay County, NE",6,2,6,1,1,5,
"Colfax County, NE",6,2,5,1,1,5,
"Cuming County, NE",4,2,4,1,1,5,
"Custer County, NE",4,1,5,1,3,5,
"Dakota County, NE",4,2,4,1,1,5,
"Dawes County, NE",4,1,4,1,2,5,
"Dawson County, NE",4,2,5,1,1,5,
"Deuel County, NE",6,1,4,1,1,5,
"Dixon County, NE",4,1,4,1,1,5,
"Dodge County, NE",4,2,5,1,1,5,
"Douglas County, NE",6,2,5,1,1,5,
"Dundy County, NE",7,2,5,1,1,5,
"Fillmore County, NE",4,2,6,1,1,5,
"Franklin County, NE",6,2,7,1,1,5,
"Frontier County, NE",6,2,4,1,2,5,
"Furnas County, NE",7,2,6,1,2,5,
"Gage County, NE",6,2,6,1,1,5,
"Garden County, NE",6,2,4,1,3,5,
"Garfield County, NE",4,1,5,1,1,5,
"Gosper County, NE",4,2,7,1,2,5,
"Grant County, NE",6,1,1,1,2,5,
"Greeley County, NE",4,1,5,1,1,5,
"Hall County, NE",6,2,7,1,1,5,
"Hamilton County, NE",4,2,6,1,1,5,
"Harlan County, NE",6,2,7,1,1,5,
"Hayes County, NE",6,1,4,1,2,5,
"Hitchcock County, NE",6,2,5,1,2,5,
"Holt County, NE",6,2,5,1,1,5,
"Hooker County, NE",6,1,1,1,2,5,
"Howard County, NE",6,2,6,1,1,5,
"Jefferson County, NE",6,2,6,1,1,5,
"Johnson County, NE",6,2,6,1,1,5,
"Kearney County, NE",6,2,6,1,1,5,
"Keith County, NE",6,2,4,1,1,5,
"Keya Paha County, NE",4,1,6,1,1,5,
"Kimball County, NE",4,1,3,1,2,5,
"Knox County, NE",4,1,5,1,1,5,
"Lancaster County, NE",6,2,6,1,1,5,
"Lincoln County, NE",4,1,3,1,3,5,
"Logan County, NE",6,1,3,1,2,5,
"Loup County, NE",4,1,5,1,2,5,
"McPherson County, NE",6,1,3,1,2,5,
"Madison County, NE",4,1,4,1,1,5,
"Merrick County, NE",6,2,6,1,1,5,
"Morrill County, NE",4,1,4,1,2,5,
"Nance County, NE",4,2,5,1,1,5,
"Nemaha County, NE",6,4,6,1,1,5,
"Nuckolls County, NE",6,2,7,1,1,5,
"Otoe County, NE",6,2,6,1,1,5,
"Pawnee County, NE",6,2,7,1,1,5,
"Perkins County, NE",6,1,4,1,1,5,
"Phelps County, NE",6,2,6,1,1,5,
"Pierce County, NE",4,2,4,1,1,5,
"Platte County, NE",6,2,5,1,1,5,
"Polk County, NE",4,1,6,1,1,5,
"Red Willow County, NE",6,2,5,1,2,5,
"Richardson County, NE",6,2,7,1,1,5,
"Rock County, NE",4,1,5,1,1,5,
"Saline County, NE",6,2,6,1,1,5,
"Sarpy County, NE",4,2,6,1,1,5,
"Saunders County, NE",4,2,5,1,1,5,
"Scotts Bluff County, NE",4,1,4,1,1,5,
"Seward County, NE",4,2,6,1,1,5,
"Sheridan County, NE",4,1,4,1,3,5,
"Sherman County, NE",6,1,6,1,1,5,
"Sioux County, NE",6,1,4,1,2,5,
"Stanton County, NE",4,2,4,1,1,5,
"Thayer County, NE",6,2,6,1,1,5,
"Thomas County, NE",6,2,4,1,2,5,
"Thurston County, NE",4,4,4,1,1,5,
"Valley County, NE",4,1,5,1,1,5,
"Washington County, NE",4,1,5,1,1,5,
"Wayne County, NE",4,1,4,1,1,5,
"Webster County, NE",6,2,7,1,1,5,
"Wheeler County, NE",4,1,5,1,1,5,
"York County, NE",6,2,6,1,1,5,
"Churchill County, NV",7,2,1,1,10,5,
"Clark County, NV",10,6,1,1,1,5,
"Douglas County, NV",6,1,1,1,6,4,
"Elko County, NV",6,1,1,1,10,4,
"Esmeralda County, NV",9,2,1,1,1,5,
"Eureka County, NV",4,1,1,1,9,4,
"Humboldt County, NV",6,1,1,1,10,4,
"Lander County, NV",4,1,1,1,10,5,
"Lincoln County, NV",7,1,1,1,9,5,
"Lyon County, NV",7,1,1,1,6,5,
"Mineral County, NV",3,1,1,1,8,5,
"Nye County, NV",6,1,1,1,9,5,
"Pershing County, NV",7,1,1,1,10,5,
"Storey County, NV",3,1,1,1,6,4,
"Washoe County, NV",4,1,1,1,10,4,
"White Pine County, NV",4,1,1,1,9,4,
"Carson City, NV",6,1,1,1,4,4,
"Belknap County, NH",3,4,1,1,1,4,
"Carroll County, NH",3,4,1,1,1,3,
"Cheshire County, NH",3,4,1,1,1,4,
"Coos County, NH",3,2,1,1,1,3,
"Grafton County, NH",3,2,1,1,1,4,
"Hillsborough County, NH",3,4,1,1,1,4,
"Merrimack County, NH",3,4,1,1,1,4,
"Rockingham County, NH",3,4,1,4,1,4,
"Strafford County, NH",3,4,1,3,1,4,
"Sullivan County, NH",3,4,1,1,1,4,
"Atlantic County, NJ",3,4,3,4,3,5,
"Bergen County, NJ",3,5,1,4,1,5,
"Burlington County, NJ",4,2,3,4,3,5,
"Camden County, NJ",4,2,3,4,2,5,
"Cape May County, NJ",3,5,3,4,2,7,
"Cumberland County, NJ",3,2,3,4,3,5,
"Essex County, NJ",4,5,1,3,1,5,
"Gloucester County, NJ",4,4,3,4,2,5,
"Hudson County, NJ",4,5,1,4,1,5,
"Hunterdon County, NJ",4,2,3,1,1,5,
"Mercer County, NJ",4,4,3,3,1,5,
"Middlesex County, NJ",4,4,3,4,1,5,
"Monmouth County, NJ",4,2,3,4,1,5,
"Morris County, NJ",4,1,3,1,1,4,
"Ocean County, NJ",4,2,3,6,3,5,
"Passaic County, NJ",4,5,1,3,1,5,
"Salem County, NJ",4,4,4,6,1,5,
"Somerset County, NJ",4,4,3,1,1,5,
"Sussex County, NJ",3,2,3,1,2,4,
"Union County, NJ",4,4,1,3,1,5,
"Warren County, NJ",4,2,3,1,2,4,
"Bernalillo County, NM",6,1,1,1,3,5,
"Catron County, NM",7,1,1,1,6,4,
"Chaves County, NM",9,1,8,1,6,6,
"Cibola County, NM",3,1,1,1,3,4,
"Colfax County, NM",3,1,1,1,6,4,
"Curry County, NM",7,1,6,1,3,5,
"De Baca County, NM",6,1,1,1,3,5,
"Do̱a Ana County, NM",9,2,8,1,6,5,
"Eddy County, NM",9,2,1,1,6,5,
"Grant County, NM",6,1,4,1,7,5,
"Guadalupe County, NM",7,1,1,1,5,5,
"Harding County, NM",4,1,1,1,3,4,
"Hidalgo County, NM",9,2,6,1,7,5,
"Lea County, NM",7,1,8,1,6,5,
"Lincoln County, NM",3,1,1,1,6,5,
"Los Alamos County, NM",3,1,1,1,3,4,
"Luna County, NM",9,2,8,1,6,5,
"McKinley County, NM",3,1,1,1,3,4,
"Mora County, NM",3,1,3,1,5,3,
"Otero County, NM",3,1,1,1,7,5,
"Quay County, NM",9,2,5,1,3,5,
"Rio Arriba County, NM",3,1,3,1,7,4,
"Roosevelt County, NM",7,1,7,1,3,5,
"Sandoval County, NM",4,1,3,1,7,5,
"San Juan County, NM",6,1,3,1,6,4,
"San Miguel County, NM",3,1,3,1,6,4,
"Santa Fe County, NM",4,1,3,1,6,4,
"Sierra County, NM",9,2,5,1,6,5,
"Socorro County, NM",7,1,4,1,6,5,
"Taos County, NM",3,1,3,1,3,4,
"Torrance County, NM",4,1,3,1,6,4,
"Union County, NM",4,1,4,1,6,5,
"Valencia County, NM",7,1,4,1,3,5,
"Albany County, NY",3,4,3,1,1,4,
"Allegany County, NY",3,4,3,1,1,4,
"Bronx County, NY",4,5,1,3,1,5,
"Broome County, NY",3,2,3,1,1,4,
"Cattaraugus County, NY",3,2,3,1,1,4,
"Cayuga County, NY",3,4,3,1,1,4,
"Chautauqua County, NY",3,4,3,1,1,4,
"Chemung County, NY",3,4,3,1,1,4,
